"1","2","3","4","5","6","7","8","9","10","11","12"
10165,5703,3142,301,0,0,2354,301,0,0,1432,8568
4793,11626,13650,14135,404,0,0,0,0,0,0,0
81,9547,17962,16579,19769,5121,0,0,0,0,0,0
13,0,0,0,0,18,0,0,0,0,6689,23479
34377,1688,0,0,0,7,0,28,0,0,21857,32867
4996,0,5588,6124,6074,3266,0,0,1340,3823,5181,5201
1195,5868,6410,6044,846,4879,4684,3759,4325,2713,0,0
0,4068,6486,6214,5713,0,2376,7265,4135,5405,240,0
0,0,4162,6673,6982,2564,1848,6654,3895,6240,2614,0
0,0,0,5235,10146,219,10964,10265,8469,12575,12557,8520
0,0,0,28,712,6573,9827,3804,9079,9183,3883,475
0,0,0,1003,7242,4806,6446,582,6268,7748,6018,937
